Lease_Number,Production_Date,Product_Code,Mon_Oil_Volume,Mon_Gas_Volume,Operator_Number
134,1/1/2019,G,0,0,2451
134,1/1/2019,O,1704,438,2451
134,1/1/2019,O,718,1002,2451
134,1/1/2019,O,0,0,2451
134,1/1/2019,O,6256,3007,2451
134,1/1/2019,O,2480,6202,2451
134,1/1/2019,O,2135,5733,2451
134,1/1/2019,O,2196,8663,2451
165,1/1/2019,U,0,0,3151
165,1/1/2019,O,590,148,3151
165,1/1/2019,O,430,394,3151
165,1/1/2019,O,0,0,3151
165,1/1/2019,O,1862,434,3151
165,1/1/2019,O,1586,591,3151
165,1/1/2019,O,807,929,3151
166,1/1/2019,U,0,0,3481
166,1/1/2019,O,1528,623,3481
166,1/1/2019,O,1431,451,3481
166,1/1/2019,O,930,330,3481
166,1/1/2019,O,2138,2182,3481
166,1/1/2019,O,3087,2113,3481
166,1/1/2019,O,252,178,3481
166,1/1/2019,G,1688,246,3481
166,1/1/2019,O,1256,678,3481
166,1/1/2019,G,336,143,3481
166,1/1/2019,O,672,383,3481
166,1/1/2019,S,0,0,3481
174,1/1/2019,O,3261,4503,2451
177,1/1/2019,O,0,0,2451
177,1/1/2019,O,689,2448,2451
177,1/1/2019,O,8087,9479,2451
180,1/1/2019,U,0,0,2451
180,1/1/2019,G,5069,8725,2451
180,1/1/2019,G,1954,6798,2451
180,1/1/2019,O,2315,2720,2451
181,1/1/2019,O,3304,2482,2451
182,1/1/2019,U,0,0,2451
182,1/1/2019,O,2085,532,2451
182,1/1/2019,O,0,0,2451
182,1/1/2019,O,1435,646,2451
182,1/1/2019,O,628,646,2451
182,1/1/2019,O,1884,1634,2451
182,1/1/2019,O,22,0,2451
182,1/1/2019,O,3778,4170,2451
182,1/1/2019,O,1053,52,2451
182,1/1/2019,O,1261,0,2451
182,1/1/2019,O,1569,0,2451
182,1/1/2019,O,1144,0,2451
182,1/1/2019,O,927,0,2451
182,1/1/2019,O,996,0,2451
182,1/1/2019,O,876,0,2451
182,1/1/2019,G,1459,7367,2451
182,1/1/2019,O,1458,0,2451
182,1/1/2019,O,3886,2676,2451
182,1/1/2019,O,5389,42549,2451
182,1/1/2019,O,1865,4370,2451
182,1/1/2019,O,2612,4200,2451
184,1/1/2019,G,0,0,3147
196,1/1/2019,U,0,0,2375
196,1/1/2019,O,0,0,2375
196,1/1/2019,O,200,74,2375
196,1/1/2019,O,1672,1015,2375
196,1/1/2019,G,0,0,2375
196,1/1/2019,O,3808,410,2375
196,1/1/2019,O,110,671,2375
196,1/1/2019,O,1050,942,2375
196,1/1/2019,O,1015,1273,2375
196,1/1/2019,O,325,3008,2375
204,1/1/2019,G,0,0,3151
204,1/1/2019,U,0,0,3151
204,1/1/2019,G,886,2500,3151
204,1/1/2019,U,0,0,2375
204,1/1/2019,O,0,0,3151
204,1/1/2019,O,3798,2717,3151
244,1/1/2019,U,0,0,3295
244,1/1/2019,O,0,0,3295
247,1/1/2019,G,824,44338,3295
247,1/1/2019,U,0,0,3295
247,1/1/2019,G,591,27399,3295
263,1/1/2019,O,373,276,2375
263,1/1/2019,O,653,635,2375
263,1/1/2019,G,821,515,2375
263,1/1/2019,O,0,0,2375
263,1/1/2019,O,1638,661,2375
263,1/1/2019,O,2087,2627,2375
263,1/1/2019,O,2528,1696,2375
263,1/1/2019,O,902,2940,2375
263,1/1/2019,O,703,21,2375
263,1/1/2019,O,660,71,2375
263,1/1/2019,O,212,276,2375
263,1/1/2019,O,469,477,2375
263,1/1/2019,O,2261,1452,2375
263,1/1/2019,O,845,1327,2375
263,1/1/2019,G,0,0,2375
263,1/1/2019,O,45,232,2375
263,1/1/2019,O,678,1143,2375
263,1/1/2019,O,316,1041,2375
263,1/1/2019,O,237,634,2375
263,1/1/2019,O,152,585,2375
263,1/1/2019,O,1969,299,2375
263,1/1/2019,O,569,388,2375
263,1/1/2019,G,158,272,2375
263,1/1/2019,U,0,0,2375
263,1/1/2019,O,0,5167,2375
263,1/1/2019,O,95,64,2375
263,1/1/2019,O,267,485,2375
263,1/1/2019,O,76,108,2375
263,1/1/2019,O,730,457,2375
263,1/1/2019,O,1643,985,2375
310,1/1/2019,U,0,0,3151
310,1/1/2019,G,0,10258,3151
310,1/1/2019,G,0,0,3151
310,1/1/2019,U,0,0,2375
310,1/1/2019,O,0,0,3151
310,1/1/2019,G,0,11416,3151
310,1/1/2019,O,328,977,3151
310,1/1/2019,O,984,994,3151
310,1/1/2019,O,2340,9498,3151
310,1/1/2019,G,0,0,2375
310,1/1/2019,O,233,612,2266
310,1/1/2019,G,0,0,2266
310,1/1/2019,O,1904,1275,3151
310,1/1/2019,O,5723,2784,2375
310,1/1/2019,O,0,0,2375
310,1/1/2019,G,0,43713,2375
310,1/1/2019,O,4742,1749,2266
310,1/1/2019,O,0,0,2266
310,1/1/2019,O,709,394,2266
310,1/1/2019,O,3951,1405,2375
310,1/1/2019,G,0,4499,3151
310,1/1/2019,G,0,12185,2375
310,1/1/2019,G,1942,14552,3151
310,1/1/2019,G,3952,64188,3151
310,1/1/2019,G,2412,53225,3151
310,1/1/2019,G,2635,130426,3151
310,1/1/2019,G,952,96995,3151
310,1/1/2019,G,2940,282785,3151
310,1/1/2019,G,2188,253547,3151
310,1/1/2019,G,590,97902,3151
310,1/1/2019,O,982,957,3151
310,1/1/2019,O,1673,1115,3151
310,1/1/2019,O,1410,1347,3151
310,1/1/2019,O,1948,1926,3151
310,1/1/2019,O,2132,2128,3151
310,1/1/2019,O,1659,1687,3151
310,1/1/2019,O,1694,1254,3151
310,1/1/2019,O,1676,1211,3151
310,1/1/2019,S,0,0,3151
333,1/1/2019,G,718,34379,1284
333,1/1/2019,G,0,0,1284
333,1/1/2019,G,0,438,1284
335,1/1/2019,O,737,480,1284
336,1/1/2019,O,3277,1062,1284
346,1/1/2019,G,992,31007,1284
346,1/1/2019,U,0,0,1284
347,1/1/2019,U,0,0,1284
347,1/1/2019,G,1895,8646,1284
353,1/1/2019,U,0,0,3368
353,1/1/2019,O,0,0,3368
353,1/1/2019,O,635,24,3368
367,1/1/2019,U,0,0,3151
367,1/1/2019,O,0,0,3151
367,1/1/2019,G,0,0,3151
367,1/1/2019,O,3737,17574,3151
367,1/1/2019,O,517,5,3151
367,1/1/2019,O,1167,352,3151
369,1/1/2019,O,1740,399,3481
369,1/1/2019,O,1563,2795,3481
369,1/1/2019,O,0,0,3481
369,1/1/2019,O,1499,678,3481
369,1/1/2019,O,887,251,3481
369,1/1/2019,O,660,576,3481
369,1/1/2019,S,0,0,3481
369,1/1/2019,O,1271,820,3481
369,1/1/2019,O,2404,400,3481
369,1/1/2019,O,1659,372,3481
369,1/1/2019,O,1488,515,3481
369,1/1/2019,O,4749,2029,3481
369,1/1/2019,U,0,0,3481
369,1/1/2019,O,4054,617,3481
369,1/1/2019,O,810,373,3481
370,1/1/2019,O,3979,1571,3481
370,1/1/2019,U,0,0,3481
370,1/1/2019,O,6946,1405,3481
370,1/1/2019,S,0,0,3481
372,1/1/2019,O,0,0,1284
372,1/1/2019,G,0,0,1284
373,1/1/2019,U,0,0,3481
374,1/1/2019,U,0,0,3481
374,1/1/2019,O,2551,1880,3481
374,1/1/2019,G,0,0,3481
374,1/1/2019,O,684,781,3481
374,1/1/2019,O,960,1003,3481
374,1/1/2019,O,0,0,3481
374,1/1/2019,O,1830,1081,3481
374,1/1/2019,O,1477,1661,3481
374,1/1/2019,S,0,0,3481
374,1/1/2019,O,3162,1640,3481
374,1/1/2019,O,595,1232,3481
374,1/1/2019,O,870,1393,3481
374,1/1/2019,O,3026,1400,3481
